#{"t_start": 1702587931.5882936, "env_id": "None"}
r,l,t
-7.0,3,642.565079
-7.0,4,642.575094
-7.0,3,642.583092
-7.0,3,642.587613
-7.0,3,642.591614
-7.0,1,642.594614
-7.0,3,642.601613
-7.0,5,642.610617
-7.0,4,642.616616
-7.0,3,642.621613
-7.0,1,642.625615
-7.0,3,642.631615
-7.0,1,642.634622
-7.0,1,642.636615
-7.0,1,642.640616
-7.0,4,642.647625
-7.0,1,642.650614
-7.0,1,642.652612
-7.0,4,642.658615
-7.0,3,642.663629
-7.0,1,642.666617
-7.0,1,642.669614
-7.0,1,642.673624
-7.0,1,642.675623
-7.0,2,642.678628
-7.0,1,642.681623
-7.0,2,642.686137
-7.0,1,642.688138
-7.0,3,642.691136
-7.0,1,642.692139
-7.0,1,642.697151
-7.0,3,642.700136
-7.0,3,642.70414
-7.0,3,642.707141
-7.0,1,642.712142
-7.0,1,642.715141
-7.0,5,642.720141
-7.0,1,642.721139
-7.0,1,642.72514
-7.0,1,642.727136
-7.0,2,642.731141
-7.0,5,642.737139
-7.0,1,642.742138
-7.0,1,642.745144
-7.0,1,642.748137
-7.0,1,642.750142
-7.0,2,642.753139
-7.0,5,642.75914
-7.0,5,642.764138
-7.0,1,642.766138
-7.0,3,642.770144
-7.0,1,642.772149
10.0,4,642.777146
-7.0,4,642.78466
-7.0,1,642.788671
-7.0,3,642.798672
-7.0,1,642.801667
-7.0,1,642.803669
-7.0,1,642.808669
-7.0,3,642.814671
-7.0,2,642.817669
-7.0,1,642.819669
-7.0,5,642.82767
-7.0,3,642.832671
-7.0,1,642.834669
-7.0,1,642.837668
-7.0,3,642.843672
-7.0,3,642.849678
-7.0,3,642.854669
-7.0,1,642.856674
-7.0,1,642.860671
-7.0,1,642.862672
-7.0,4,642.86967
-7.0,3,642.87468
-7.0,3,642.88068
-7.0,2,642.883681
-10.0,4,642.8902
-7.0,1,642.892196
-7.0,1,642.896207
-7.0,2,642.900203
-7.0,4,642.903201
-7.0,1,642.905203
-7.0,1,642.909201
-7.0,2,642.912197
-7.0,4,642.918197
-7.0,1,642.920197
-7.0,3,642.924202
-7.0,3,642.9262
-7.0,4,642.933197
-7.0,5,642.936197
-7.0,4,642.941199
-7.0,1,642.943199
-7.0,2,642.946199
-7.0,1,642.949198
-7.0,1,642.953198
-7.0,1,642.955199
-7.0,3,642.957197
-7.0,1,642.959198
-7.0,2,642.965199
-7.0,4,642.968202
-7.0,3,642.971208
-7.0,4,642.974208
-7.0,4,642.981208
-7.0,3,642.983206
-7.0,1,642.984716
-7.0,4,642.988724
-7.0,1,642.991723
-7.0,1,642.993725
-7.0,2,642.996724
-7.0,1,642.998725
-7.0,1,643.002723
-7.0,1,643.004723
-7.0,1,643.006724
-7.0,1,643.008728
-7.0,1,643.013725
-7.0,1,643.015725
-7.0,4,643.018726
-7.0,1,643.019725
-7.0,4,643.025722
-7.0,1,643.028726
-7.0,1,643.029725
-7.0,2,643.032725
-7.0,1,643.036723
-7.0,4,643.039729
-7.0,1,643.041726
-7.0,1,643.043725
-7.0,4,643.052722
-7.0,1,643.055727
-7.0,1,643.056729
-7.0,2,643.058723
-7.0,1,643.062751
-7.0,1,643.064726
-7.0,1,643.065724
-7.0,2,643.068726
-7.0,1,643.073732
-7.0,1,643.075731
-7.0,1,643.080731
-7.0,1,643.083736
-7.0,4,643.088893
-7.0,4,643.091894
-7.0,5,643.097892
-7.0,4,643.099898
-7.0,1,643.103899
-7.0,3,643.105893
-7.0,2,643.107895
-7.0,3,643.110895
-7.0,3,643.115896
-7.0,2,643.117894
-7.0,3,643.120895
-7.0,1,643.137892
-7.0,1,643.142895
-7.0,2,643.147896
-7.0,1,643.1509
-7.0,1,643.152894
-7.0,1,643.156894
-7.0,4,643.163905
-7.0,1,643.166895
-7.0,2,643.169893
-7.0,1,643.173901
-7.0,4,643.178902
-7.0,1,643.181902
-7.0,4,643.186417
-7.0,4,643.193417
-7.0,2,643.199416
-7.0,4,643.203417
-7.0,3,643.207415
-7.0,1,643.210416
-7.0,2,643.214417
-7.0,3,643.217419
-10.0,3,643.220419
-7.0,1,643.224418
-7.0,4,643.226416
-7.0,2,643.229428
-10.0,4,643.233415
-7.0,3,643.237902
-7.0,1,643.239912
-7.0,1,643.241921
-7.0,1,643.243909
-7.0,3,643.249914
-7.0,1,643.251911
-7.0,5,643.255909
-7.0,1,643.257909
-7.0,4,643.263909
-7.0,1,643.264909
-10.0,4,643.269909
-7.0,4,643.272918
-7.0,4,643.278919
-7.0,3,643.282918
-7.0,1,643.284919
-7.0,1,643.286283
-7.0,1,643.29028
-7.0,1,643.292281
-7.0,2,643.294283
-7.0,3,643.299279
-10.0,3,643.304277
-7.0,5,643.307279
-7.0,2,643.31028
-7.0,1,643.312302
-7.0,2,643.31628
-7.0,1,643.317281
-7.0,1,643.319283
-7.0,2,643.321279
10.0,3,643.325291
-7.0,2,643.327294
-7.0,1,643.331298
-7.0,4,643.334294
10.0,4,643.338294
-7.0,2,643.341294
