#{"t_start": 1702587931.593292, "env_id": "None"}
r,l,t
-7.0,1,3018.708256
10.0,4,3018.732386
-7.0,1,3018.740402
10.0,4,3018.776537
-7.0,1,3018.782843
-10.0,4,3018.812606
0.0,5,3018.838922
0.0,5,3018.872721
0.0,5,3018.902611
0.0,5,3018.930686
10.0,4,3018.958191
0.0,5,3018.986747
0.0,5,3019.013303
0.0,5,3019.045419
-7.0,1,3019.050418
10.0,4,3019.07826
-10.0,4,3019.106428
0.0,5,3019.138363
10.0,4,3019.157424
0.0,5,3019.198097
-7.0,1,3019.212168
10.0,4,3019.228312
-7.0,1,3019.243372
-7.0,1,3019.248377
-10.0,4,3019.274388
-7.0,1,3019.278389
-7.0,1,3019.2835
-7.0,1,3019.290521
10.0,4,3019.322577
0.0,5,3019.354409
-7.0,1,3019.359391
-7.0,1,3019.36643
-7.0,1,3019.387998
-7.0,1,3019.395034
-7.0,1,3019.404087
-7.0,1,3019.409085
-7.0,1,3019.416118
-7.0,1,3019.431668
0.0,5,3019.45968
-7.0,1,3019.463999
-7.0,1,3019.470507
-7.0,1,3019.478032
-7.0,1,3019.483926
0.0,5,3019.519268
0.0,5,3019.55342
-7.0,1,3019.566443
-7.0,1,3019.570955
-7.0,1,3019.575742
0.0,5,3019.61135
-7.0,1,3019.61837
-7.0,1,3019.625401
0.0,5,3019.660989
-7.0,1,3019.674541
-7.0,1,3019.681681
0.0,5,3019.709312
-7.0,1,3019.716357
-7.0,1,3019.72337
-7.0,1,3019.72737
-7.0,1,3019.741225
-7.0,1,3019.745243
-7.0,1,3019.75131
-7.0,1,3019.758317
10.0,4,3019.784805
10.0,3,3019.804785
0.0,5,3019.836097
-10.0,4,3019.851677
-7.0,1,3019.869314
-7.0,1,3019.873675
-7.0,1,3019.881181
10.0,3,3019.9027
10.0,4,3019.922556
-7.0,1,3019.936616
10.0,4,3019.953927
0.0,5,3019.984723
-7.0,1,3019.997795
-7.0,1,3020.004317
-7.0,1,3020.011346
-7.0,1,3020.018373
-7.0,1,3020.024402
-7.0,1,3020.045469
-7.0,1,3020.05148
-7.0,1,3020.056497
-7.0,1,3020.06151
-7.0,1,3020.068038
0.0,5,3020.095267
-7.0,1,3020.108303
-7.0,1,3020.113845
-7.0,1,3020.120355
0.0,5,3020.147664
-7.0,1,3020.152572
0.0,5,3020.183427
0.0,5,3020.213692
0.0,5,3020.242291
-7.0,1,3020.247298
-7.0,1,3020.263332
-7.0,1,3020.26833
0.0,5,3020.297714
-7.0,1,3020.303224
0.0,5,3020.333264
-7.0,1,3020.339263
-7.0,1,3020.344558
0.0,5,3020.380538
0.0,5,3020.421213
0.0,5,3020.451283
0.0,5,3020.481411
-7.0,1,3020.502706
-10.0,3,3020.513228
-7.0,1,3020.519227
-7.0,1,3020.534295
-7.0,1,3020.540803
-7.0,1,3020.545321
-7.0,1,3020.550832
-7.0,1,3020.555352
-7.0,1,3020.569373
-10.0,4,3020.583424
-10.0,4,3020.613031
-7.0,1,3020.618032
0.0,5,3020.648972
-7.0,1,3020.66152
-7.0,1,3020.668036
-7.0,1,3020.672653
0.0,5,3020.700458
-10.0,4,3020.726545
0.0,5,3020.76063
0.0,5,3020.79048
0.0,5,3020.828154
-7.0,1,3020.835189
0.0,5,3020.861273
-7.0,1,3020.867279
10.0,4,3020.893937
10.0,3,3020.911214
-7.0,1,3020.916223
-7.0,1,3020.922457
-7.0,1,3020.927463
-7.0,1,3020.932342
-7.0,1,3020.94569
0.0,5,3020.972862
-7.0,1,3020.976891
-7.0,1,3020.981385
0.0,5,3021.012773
10.0,3,3021.032513
-7.0,1,3021.037511
0.0,5,3021.066699
-10.0,4,3021.093031
-7.0,1,3021.098032
-7.0,1,3021.10289
-7.0,1,3021.106998
-7.0,1,3021.113038
0.0,5,3021.142903
0.0,5,3021.181521
-7.0,1,3021.201607
-7.0,1,3021.207636
-10.0,3,3021.223725
0.0,5,3021.253303
0.0,5,3021.286109
-10.0,3,3021.307668
-7.0,1,3021.312886
-10.0,4,3021.337505
-7.0,1,3021.342569
-7.0,1,3021.34858
-7.0,1,3021.361622
-7.0,1,3021.367636
10.0,4,3021.396317
-7.0,1,3021.401458
10.0,4,3021.424625
-7.0,1,3021.428621
-10.0,3,3021.440726
-7.0,1,3021.456534
-7.0,1,3021.461546
-7.0,1,3021.466554
-10.0,3,3021.492306
0.0,5,3021.524917
0.0,5,3021.560513
0.0,5,3021.597979
0.0,5,3021.6276
10.0,4,3021.644581
-7.0,1,3021.660606
0.0,5,3021.686246
0.0,5,3021.713351
-7.0,1,3021.720351
10.0,3,3021.735402
-7.0,1,3021.754757
-7.0,1,3021.760751
10.0,4,3021.784869
-7.0,1,3021.788879
0.0,5,3021.823024
-10.0,4,3021.848313
-10.0,4,3021.867368
-7.0,1,3021.88345
0.0,5,3021.911047
-7.0,1,3021.916566
-7.0,1,3021.923583
-7.0,1,3021.928586
-7.0,1,3021.93563
10.0,4,3021.972241
-7.0,1,3021.978252
10.0,4,3022.003401
-7.0,1,3022.0074
10.0,4,3022.030555
-7.0,1,3022.034805
10.0,4,3022.066622
0.0,5,3022.094318
10.0,4,3022.119273
10.0,4,3022.144391
10.0,4,3022.171482
0.0,5,3022.208616
-7.0,1,3022.215636
0.0,5,3022.243612
-7.0,1,3022.24958
-7.0,1,3022.255595
-7.0,1,3022.259596
-7.0,1,3022.279646
-7.0,1,3022.285183
10.0,3,3022.301587
-7.0,1,3022.316154
0.0,5,3022.364322
-7.0,1,3022.370842
0.0,5,3022.399467
-7.0,1,3022.402788
-7.0,1,3022.407794
0.0,5,3022.438801
10.0,4,3022.46086
-7.0,1,3022.46739
10.0,4,3022.502044
-7.0,1,3022.508055
-7.0,1,3022.515084
0.0,5,3022.543696
10.0,4,3022.569271
0.0,5,3022.602959
-10.0,4,3022.630557
-7.0,1,3022.636602
0.0,5,3022.679227
10.0,4,3022.711374
10.0,4,3022.735461
-7.0,1,3022.739465
-7.0,1,3022.744277
-7.0,1,3022.748283
-7.0,1,3022.766365
10.0,3,3022.777442
-7.0,1,3022.782782
-7.0,1,3022.795353
-7.0,1,3022.801364
10.0,4,3022.832475
-7.0,1,3022.839483
0.0,5,3022.877089
-7.0,1,3022.882112
0.0,5,3022.918498
0.0,5,3022.949474
10.0,4,3022.976927
0.0,5,3023.010516
-7.0,1,3023.018039
-7.0,1,3023.024078
-7.0,1,3023.029066
0.0,5,3023.057693
0.0,5,3023.085873
10.0,4,3023.115204
-7.0,1,3023.12071
0.0,5,3023.152619
-7.0,1,3023.1684
0.0,5,3023.204328
-7.0,1,3023.212372
-7.0,1,3023.219382
-10.0,4,3023.25651
-7.0,1,3023.261534
-7.0,1,3023.266551
-7.0,1,3023.271563
-7.0,1,3023.28462
-7.0,1,3023.288131
-7.0,1,3023.292932
-7.0,1,3023.297158
0.0,5,3023.327257
-7.0,1,3023.332611
-7.0,1,3023.345649
-7.0,1,3023.351305
10.0,4,3023.379386
-7.0,1,3023.388076
-7.0,1,3023.39277
-7.0,1,3023.400769
0.0,5,3023.427365
0.0,5,3023.457457
-7.0,1,3023.46147
0.0,5,3023.496083
10.0,4,3023.528449
0.0,5,3023.55896
-7.0,1,3023.565996
0.0,5,3023.600359
-7.0,1,3023.617365
0.0,5,3023.646737
-7.0,1,3023.652252
-7.0,1,3023.657252
10.0,4,3023.690399
0.0,5,3023.723033
10.0,4,3023.751909
0.0,5,3023.781492
0.0,5,3023.80886
-7.0,1,3023.814907
10.0,4,3023.837227
10.0,4,3023.852298
-7.0,1,3023.866378
-7.0,1,3023.870374
-7.0,1,3023.876814
0.0,5,3023.907486
-7.0,1,3023.912671
-10.0,4,3023.936226
0.0,5,3023.962863
-7.0,1,3023.968198
10.0,4,3023.995316
0.0,5,3024.033497
-7.0,1,3024.039499
-7.0,1,3024.044625
-7.0,1,3024.058976
-10.0,3,3024.072058
-7.0,1,3024.078069
-7.0,1,3024.099651
0.0,5,3024.13631
10.0,4,3024.151398
0.0,5,3024.181463
-7.0,1,3024.193588
-7.0,1,3024.199589
10.0,4,3024.223688
-7.0,1,3024.231197
-7.0,1,3024.237209
-7.0,1,3024.242243
0.0,5,3024.271876
-7.0,1,3024.278882
-7.0,1,3024.291452
0.0,5,3024.327281
10.0,4,3024.34161
-7.0,1,3024.355651
0.0,5,3024.383726
10.0,4,3024.401288
-10.0,4,3024.430726
0.0,5,3024.457483
10.0,3,3024.490633
10.0,4,3024.526575
-7.0,1,3024.532666
10.0,4,3024.558227
0.0,5,3024.58693
-7.0,1,3024.591443
-7.0,1,3024.597956
-7.0,1,3024.602519
0.0,5,3024.631108
0.0,5,3024.660673
10.0,4,3024.691379
10.0,4,3024.71621
-7.0,1,3024.720735
10.0,3,3024.742347
-7.0,1,3024.747357
-7.0,1,3024.752661
0.0,5,3024.781457
10.0,4,3024.803588
0.0,5,3024.838669
-10.0,4,3024.863228
10.0,4,3024.878253
10.0,4,3024.912782
-7.0,1,3024.919453
0.0,5,3024.952577
-7.0,1,3024.965607
-7.0,1,3024.969605
-7.0,1,3024.974635
0.0,5,3025.011216
0.0,5,3025.040552
0.0,5,3025.077593
-7.0,1,3025.083897
0.0,5,3025.112243
0.0,5,3025.143285
-7.0,1,3025.147805
0.0,5,3025.177469
-10.0,4,3025.204325
-7.0,1,3025.209327
-7.0,1,3025.221624
-7.0,1,3025.229654
-7.0,1,3025.235691
-7.0,1,3025.242717
-10.0,4,3025.277341
0.0,5,3025.303278
-10.0,4,3025.327266
-7.0,1,3025.331788
-7.0,1,3025.337189
-7.0,1,3025.341203
-7.0,1,3025.355638
0.0,5,3025.386458
-7.0,1,3025.39097
0.0,5,3025.422887
10.0,4,3025.44955
-7.0,1,3025.453584
10.0,4,3025.481521
-10.0,3,3025.498075
10.0,4,3025.531593
-7.0,1,3025.536623
-7.0,1,3025.541626
-7.0,1,3025.555007
-7.0,1,3025.560517
0.0,5,3025.589275
-10.0,4,3025.61738
-7.0,1,3025.621392
0.0,5,3025.656527
-7.0,1,3025.663558
0.0,5,3025.702212
-7.0,1,3025.706102
10.0,3,3025.734211
-7.0,1,3025.738211
-7.0,1,3025.743516
0.0,5,3025.775361
-7.0,1,3025.781371
-7.0,1,3025.797554
0.0,5,3025.827959
10.0,4,3025.842828
-7.0,1,3025.859342
10.0,4,3025.880428
-7.0,1,3025.895883
-7.0,1,3025.900395
0.0,5,3025.927592
0.0,5,3025.972369
0.0,5,3026.001441
-7.0,1,3026.004531
0.0,5,3026.042671
0.0,5,3026.07569
0.0,5,3026.110849
0.0,5,3026.139566
-7.0,1,3026.144072
-10.0,4,3026.168714
0.0,5,3026.196306
0.0,5,3026.22842
-10.0,4,3026.253339
0.0,5,3026.28431
0.0,5,3026.315316
-7.0,1,3026.321315
-7.0,1,3026.327348
-7.0,1,3026.334358
-7.0,1,3026.350436
-7.0,1,3026.354944
0.0,5,3026.385418
-7.0,1,3026.391966
10.0,4,3026.426094
-7.0,1,3026.433137
-7.0,1,3026.438137
0.0,5,3026.46757
0.0,5,3026.498945
-7.0,1,3026.502982
-7.0,1,3026.516004
-7.0,1,3026.520517
-7.0,1,3026.526037
0.0,5,3026.556048
10.0,3,3026.575224
-7.0,1,3026.579225
-7.0,1,3026.584264
-7.0,1,3026.588779
-7.0,1,3026.596297
-10.0,4,3026.632681
-7.0,1,3026.636686
0.0,5,3026.666306
0.0,5,3026.699338
0.0,5,3026.732306
-7.0,1,3026.745331
-7.0,1,3026.751358
-7.0,1,3026.757588
0.0,5,3026.793256
-7.0,1,3026.799258
-7.0,1,3026.80631
10.0,4,3026.833694
10.0,3,3026.853116
-7.0,1,3026.859118
0.0,5,3026.886986
0.0,5,3026.913734
10.0,3,3026.93328
-7.0,1,3026.93728
-7.0,1,3026.942308
10.0,3,3026.964839
-7.0,1,3026.968837
0.0,5,3026.997013
0.0,5,3027.024714
-7.0,1,3027.028713
0.0,5,3027.057018
0.0,5,3027.085053
-7.0,1,3027.089568
0.0,5,3027.122691
0.0,5,3027.152298
-10.0,4,3027.184423
0.0,5,3027.21838
-7.0,1,3027.222389
-7.0,1,3027.228397
10.0,3,3027.255455
0.0,5,3027.283539
